MN01020:33:000H3JYMV:1:11101:5188:1023	CM038094.1	93.443	61	4	0	1	61	61861888	61861948	2.48e-17	91.6
MN01020:33:000H3JYMV:1:11101:20598:1065	CM038085.1	100.000	81	0	0	1	81	6358176	6358096	6.21e-35	150
MN01020:33:000H3JYMV:1:11101:2053:1068	CM038085.1	89.535	86	9	0	41	126	78205514	78205599	2.40e-22	110
MN01020:33:000H3JYMV:1:11101:13757:1129	CM038108.1	96.000	150	6	0	1	150	5976625	5976774	6.26e-63	244
MN01020:33:000H3JYMV:1:11101:3005:1183	CM038088.1	80.822	73	14	0	4	76	87654426	87654354	4.66e-07	58.4
MN01020:33:000H3JYMV:1:11101:16670:1274	CM038098.1	100.000	96	0	0	1	96	10113928	10113833	3.64e-43	178
MN01020:33:000H3JYMV:1:11101:12221:1297	CM038094.1	96.552	58	2	0	16	73	74415991	74416048	6.99e-19	97.1
MN01020:33:000H3JYMV:1:11101:7678:1330	CM038085.1	91.935	62	4	1	1	62	40697597	40697657	1.25e-15	86.1
MN01020:33:000H3JYMV:1:11101:15771:1368	CM038103.1	86.667	75	10	0	77	151	28205916	28205842	1.46e-14	84.2
MN01020:33:000H3JYMV:1:11101:22724:1369	CM038100.1	85.714	105	15	0	27	131	12413551	12413447	5.75e-23	111
MN01020:33:000H3JYMV:1:11101:18999:1372	CM038108.1	98.837	86	1	0	1	86	43952763	43952848	5.25e-36	154
MN01020:33:000H3JYMV:1:11101:4776:1435	CM038083.1	99.338	151	1	0	1	151	113181436	113181286	8.05e-72	274
MN01020:33:000H3JYMV:1:11101:15808:1455	CM038098.1	89.831	59	6	0	71	129	30825770	30825712	2.30e-12	76.8
MN01020:33:000H3JYMV:1:11101:15919:1494	CM038082.1	81.720	93	16	1	4	95	45708384	45708476	2.42e-12	76.8
MN01020:33:000H3JYMV:1:11101:18951:1550	CM038087.1	100.000	77	0	0	1	77	50249296	50249372	9.63e-33	143
MN01020:33:000H3JYMV:1:11101:19753:1569	JAJQWL010000861.1	100.000	103	0	0	1	103	1407	1305	5.15e-47	191
MN01020:33:000H3JYMV:1:11101:13383:1630	CM038085.1	76.351	148	28	5	1	145	45205920	45206063	3.02e-11	73.1
MN01020:33:000H3JYMV:1:11101:13600:1633	CM038108.1	81.034	116	20	2	6	120	131618308	131618422	7.21e-17	91.6
MN01020:33:000H3JYMV:1:11101:8958:1695	CM038108.1	98.246	57	1	0	1	57	8682765	8682709	3.64e-20	100
MN01020:33:000H3JYMV:1:11101:5419:1718	JAJQWL010000426.1	100.000	89	0	0	1	89	3630	3718	2.55e-39	165
MN01020:33:000H3JYMV:1:11101:16458:1748	CM038101.1	78.472	144	26	5	2	142	29195303	29195444	3.13e-16	89.8
MN01020:33:000H3JYMV:1:11101:2151:1806	CM038081.1	100.000	79	0	0	1	79	74464985	74464907	7.74e-34	147
MN01020:33:000H3JYMV:1:11101:25064:1884	CM038098.1	91.667	48	3	1	13	60	30825733	30825779	4.20e-09	65.8
MN01020:33:000H3JYMV:1:11101:5024:1934	CM038094.1	97.674	43	1	0	37	79	60779834	60779876	3.70e-12	75.0
MN01020:33:000H3JYMV:1:11101:1102:1941	CM038089.1	95.652	69	3	0	1	69	1961772	1961840	2.33e-23	111
MN01020:33:000H3JYMV:1:11101:6872:1954	CM038108.1	81.944	72	13	0	4	75	115044983	115044912	3.33e-08	62.1
MN01020:33:000H3JYMV:1:11101:1024:2118	CM038108.1	87.671	73	8	1	9	81	91766652	91766723	1.91e-15	86.1
MN01020:33:000H3JYMV:1:11101:12399:2294	CM038103.1	100.000	35	0	0	10	44	19532490	19532524	4.12e-09	65.8
MN01020:33:000H3JYMV:1:11101:4226:2337	CM038092.1	90.299	134	11	2	1	133	62288116	62288248	7.24e-42	174
MN01020:33:000H3JYMV:1:11101:12227:2357	CM038107.1	84.848	99	15	0	1	99	7357779	7357877	1.07e-19	100
MN01020:33:000H3JYMV:1:11101:1019:2416	CM038091.1	94.286	35	1	1	57	91	52122486	52122453	2.20e-05	52.8
MN01020:33:000H3JYMV:1:11101:1713:2424	CM038083.1	97.297	37	1	0	102	138	45045682	45045718	1.71e-08	63.9
MN01020:33:000H3JYMV:1:11101:11589:2464	CM038083.1	95.455	66	3	0	1	66	21187957	21187892	1.01e-21	106
MN01020:33:000H3JYMV:1:11101:1126:2467	CM038081.1	78.065	155	21	6	1	151	20364960	20365105	4.05e-15	86.1
MN01020:33:000H3JYMV:1:11101:16204:2472	CM038098.1	84.615	65	8	2	2	65	39906107	39906044	1.90e-08	63.9
MN01020:33:000H3JYMV:1:11101:11261:2512	CM038101.1	100.000	42	0	0	1	42	7255678	7255637	9.36e-14	78.7
MN01020:33:000H3JYMV:1:11101:9393:2540	CM038090.1	94.737	76	4	0	1	76	20033480	20033405	1.59e-25	119
MN01020:33:000H3JYMV:1:11101:5444:2567	CM038085.1	96.774	31	1	0	1	31	102707083	102707053	3.17e-05	52.8
MN01020:33:000H3JYMV:1:11101:19126:2584	CM038094.1	98.667	150	2	0	1	150	36321979	36321830	1.34e-69	267
MN01020:33:000H3JYMV:1:11101:25098:2598	CM038082.1	79.279	111	23	0	1	111	43741841	43741951	5.95e-13	78.7
